ID,PRODUCT,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
433,SAUVAGE FOX,False,True,False,False,False,True,False,False
434,DUPLUS,True,False,False,True,True,True,False,False
435,OVVO,False,False,False,True,False,False,False,False
436,RIENDA,False,False,True,False,False,False,False,False
437,COLIBRÍ,False,False,False,False,False,True,False,False
438,ZORCA,False,False,False,False,False,False,False,False
439,MISSILE,True,False,False,False,False,True,False,False
440,TÓTEM Vibrador Punto G flexible,False,False,False,True,False,True,False,False
441,UTÓPICA Dildo doble percutor XXL,True,False,False,True,False,True,False,False
442,Cadena para pezones ajustable con 7 cascabeles,False,False,False,True,False,False,False,False
443,Cadenita diamante para cintura,False,False,False,False,False,False,False,False
444,Kit de bondage púrpura de 7 piezas de amantis,False,False,True,False,False,False,False,False
445,MS_TUBEL,False,False,False,False,False,True,False,False
446,RAW,False,False,True,False,False,False,True,False
447,Kit de Duchas Íntimas,False,True,False,False,False,True,False,False
448,Collar victoriano amantis,False,False,True,False,False,False,True,False
449,Jaula de castidad masculina de acero con BARROTES,False,False,False,False,True,False,False,False
450,JUSTISSE OBEY,False,False,True,False,False,False,False,False
451,AVATAR HOOK CONVEX,False,True,True,True,False,False,False,False
452,Complaciente ducha unisex para disfrute anal,True,True,False,True,False,True,False,False
453,PROFILSAC,False,False,False,False,False,False,False,False
454,TORO SUAVE simple,False,False,False,False,False,False,False,False
455,MAXXIMO,False,False,False,False,False,True,False,False
456,FLECHA,False,False,False,False,False,True,False,False
457,TEMPLO,False,False,False,False,False,True,False,False
458,BODY CHAIN WAIST,False,False,False,False,False,False,True,False
459,Hello Klit! mi primer gran micro_vibrador,False,False,False,False,False,True,False,False
460,Conjunto sujetador y tanguita con liguero falda,False,False,False,False,False,False,True,False
461,Pala de azotes negra compacta,False,False,False,False,False,False,False,False
462,MS_PUNTAL,False,False,False,True,True,True,False,False
463,Xena,False,False,True,False,False,False,True,False
464,SESSE 360 BLACK,False,False,False,False,False,False,False,True
